,count,average_score
hoodsnack,2.0,0.08820101669053856
pickles,25.0,0.19503628489913385
and,10.0,0.22091465694086082
i,12.0,0.08334991931575138
mean,3.0,0.1211936793860533
a,19.0,0.2956418637950753
whole,1.0,0.0950519645777317
pickle,27.0,0.17724717407444746
out,4.0,0.048527486035989546
the,19.0,0.18424800406446498
jar,2.0,0.10735927004005766
eaten,1.0,0.0950519645777317
of,8.0,0.14420820130514161
sandwich,1.0,0.0950519645777317
bag,2.0,0.13380709029172225
purchased,1.0,0.0950519645777317
from,3.0,0.153439981458968
candy,1.0,0.0950519645777317
lady,1.0,0.0950519645777317
need,3.0,0.06818672075021133
to,12.0,0.12748289031040486
go,2.0,0.024633042341506952
store,1.0,0.0031485883017898044
im,2.0,0.0020030074942473932
eating,3.0,0.19364422944692453
grilled,1.0,0.0031485883017898044
cheese.no,1.0,0.0031485883017898044
bread,2.0,0.0020030074942473932
so,5.0,0.03965613140956383
on,4.0,0.12721068346682587
some,3.0,0.13109888576215772
sort,1.0,0.0031485883017898044
bun,1.0,0.0031485883017898044
its,1.0,0.0031485883017898044
ok,1.0,0.0031485883017898044
but,3.0,0.0812986934953792
ran,1.0,0.0031485883017898044
USER_MENTION,23.0,0.20290974110591584
what,4.0,0.14108782525017333
thing,1.0,0.06430070049041041
have,5.0,0.14040064781520642
you,14.0,0.23221383313672342
been,1.0,0.10471123852525073
tucson,1.0,0.10471123852525073
burger,1.0,0.10471123852525073
city,1.0,0.10471123852525073
URL,8.0,0.1290423357902067
eat,1.0,0.10471123852525073
burgers,1.0,0.10471123852525073
for,4.0,0.22741671456175855
art,1.0,0.10471123852525073
bar,1.0,0.10471123852525073
bekah,1.0,0.1881305355321485
milk,1.0,0.1881305355321485
with,3.0,0.12907984450619434
nacho,1.0,0.1881305355321485
cheese,2.0,0.0983135347231372
salad,1.0,0.1881305355321485
am,2.0,0.05390327227234746
certainly,1.0,0.02054444798004161
not,3.0,0.10868612377285596
llieing,1.0,0.02054444798004161
about,3.0,0.17571084836403128
my,3.0,0.04080338255473857
deathly,1.0,0.02054444798004161
allergy,1.0,0.02054444798004161
since,1.0,0.45868511835240344
when,2.0,0.25240130736681377
did,3.0,0.3541696192532641
sonic,1.0,0.45868511835240344
add,2.0,0.23359082613326465
fried,4.0,0.20441070014788565
menu,2.0,0.26906377041822716
dill,3.0,0.09889554315750881
chips,1.0,0.08135006880334542
best,2.0,0.2740655904590379
app,1.0,0.13158902431572517
at,2.0,0.08927815182046389
psycho,1.0,0.13158902431572517
suzis,1.0,0.13158902431572517
while,1.0,0.13158902431572517
wait,1.0,0.13158902431572517
no,1.0,0.13158902431572517
rollups,1.0,0.13158902431572517
please,2.0,0.3265998442611673
backfire,1.0,0.13158902431572517
dip,1.0,0.13158902431572517
tots,1.0,0.13158902431572517
channel,1.0,0.7742585453629062
is,5.0,0.2967912844185777
such,1.0,0.7742585453629062
great,1.0,0.7742585453629062
show,1.0,0.7742585453629062
that,3.0,0.4228732871412358
roving,1.0,0.7742585453629062
news,1.0,0.7742585453629062
reporter,1.0,0.7742585453629062
jack,1.0,0.7742585453629062
bauer,1.0,0.7742585453629062
always,1.0,0.7742585453629062
getting,2.0,0.43215224293630383
himself,1.0,0.7742585453629062
into,2.0,0.3919106181424317
wonderful,1.0,0.7742585453629062
telly,1.0,0.7742585453629062
smile,6.0,0.22174955382110137
who,1.0,0.4165421566023506
makes,1.0,0.4165421566023506
why,2.0,0.24228577228660655
it,4.0,0.19618504442491133
your,2.0,0.46907641040448
favorite,1.0,0.4165421566023506
like,4.0,0.22185207326031436
re,1.0,0.4165421566023506
both,1.0,0.4165421566023506
tex,1.0,0.4165421566023506
monday,1.0,0.07944242248405091
night,2.0,0.07944242248405091
daddy,1.0,0.07944242248405091
this,3.0,0.251546975278846
evenings,1.0,0.07944242248405091
spaghetti,1.0,0.07944242248405091
bolognese,1.0,0.07944242248405091
garlic,1.0,0.07944242248405091
yum,1.0,0.07944242248405091
off,1.0,0.005689284449481868
do,2.0,0.005689284449481868
dishes,1.0,0.005689284449481868
greens,1.0,0.005689284449481868
know,2.0,0.18195580978004106
how,2.0,0.0076259876857195956
live,1.0,0.005689284449481868
or,3.0,0.3208333497848029
chrisbrownsshirt,1.0,0.5228856796800124
was,1.0,0.5228856796800124
prize,1.0,0.5228856796800124
in,4.0,0.33418128384867957
la,2.0,0.30758124253442676
county,1.0,0.5228856796800124
fair,1.0,0.5228856796800124
contest,1.0,0.5228856796800124
haha,1.0,0.08109156991071202
thread,1.0,0.08109156991071202
girl,1.0,0.08109156991071202
kinda,1.0,0.08109156991071202
catchy,1.0,0.08109156991071202
limes,1.0,0.07781915945845044
are,5.0,0.16536906610060048
duh,1.0,0.07781915945845044
hoodsnacks,1.0,0.1196665755023836
big,3.0,0.37521279092353194
ass,2.0,0.09988020832700875
sour,1.0,0.1196665755023836
peppermint,1.0,0.1196665755023836
stick,1.0,0.1196665755023836
jammed,1.0,0.1196665755023836
middle,1.0,0.1196665755023836
davorite,1.0,0.05489842035897146
food,1.0,0.05489842035897146
everr,1.0,0.05489842035897146
mr,3.0,0.18641073218814663
veganmania,1.0,0.24560140429678867
us,1.0,0.24560140429678867
honour,1.0,0.24560140429678867
selecting,1.0,0.24560140429678867
our,2.0,0.24560140429678867
giveaway,1.0,0.24560140429678867
winners,1.0,0.24560140429678867
name,1.0,0.24560140429678867
hat,1.0,0.24560140429678867
cat,1.0,0.24560140429678867
as,1.0,0.24560140429678867
scrutineer,1.0,0.24560140429678867
had,1.0,0.36891412515273275
cup,1.0,0.36891412515273275
bowl,1.0,0.36891412515273275
nachos,1.0,0.36891412515273275
dinner,1.0,0.36891412515273275
dont,3.0,0.23004828897494156
u,1.0,0.36891412515273275
dare,1.0,0.36891412515273275
pass,1.0,0.36891412515273275
judgement,1.0,0.36891412515273275
hoodest,1.0,0.36891412515273275
shit,1.0,0.36891412515273275
ever,1.0,0.36891412515273275
guests,1.0,0.008496533914125878
arrive,1.0,0.008496533914125878
hungry,1.0,0.008496533914125878
charcuterie,1.0,0.008496533914125878
board,1.0,0.008496533914125878
never,2.0,0.04192609220218859
goes,1.0,0.008496533914125878
amiss,1.0,0.008496533914125878
olives,1.0,0.008496533914125878
whatever,2.0,0.01218055873867736
comoliment,1.0,0.008496533914125878
nofilter,1.0,0.008496533914125878
yeah,3.0,0.08763798946294939
we,2.0,0.23118480126239047
play,1.0,0.23118480126239047
hide,1.0,0.23118480126239047
really,2.0,0.29470356818649535
confine,1.0,0.23118480126239047
just,3.0,0.1841385143448275
christmas,1.0,0.23118480126239047
saying,1.0,0.23118480126239047
hey,1.0,0.5216106642066094
start,1.0,0.5216106642066094
selling,1.0,0.5216106642066094
stores,1.0,0.5216106642066094
miss,1.0,0.015409950225363884
spears,1.0,0.1358941381851301
salt,1.0,0.1358941381851301
mad,1.0,0.1358941381851301
tasty,1.0,0.1358941381851301
mm,2.0,0.5110996799754793
does,1.0,0.009562690921957323
dish,1.0,0.009562690921957323
fit,1.0,0.009562690921957323
nobody,1.0,0.0008574266867049819
told,1.0,0.0008574266867049819
me,1.0,0.0008574266867049819
they,1.0,0.0008574266867049819
were,2.0,0.045451683598203264
making,1.0,0.0008574266867049819
subs,1.0,0.0008574266867049819
using,1.0,0.0008574266867049819
instead,1.0,0.0008574266867049819
now,2.0,0.011045685259327798
freaking,1.0,0.0008574266867049819
dat,1.0,0.0008574266867049819
sterling,1.0,0.19003741242638994
fork,3.0,0.19003741242638994
three,1.0,0.19003741242638994
prongs,1.0,0.19003741242638994
splayed,1.0,0.19003741242638994
silver,1.0,0.19003741242638994
replacement,1.0,0.19003741242638994
flatware,1.0,0.19003741242638994
monogram,1.0,0.19003741242638994
b,1.0,0.19003741242638994
table,1.0,0.19003741242638994
place,1.0,0.19003741242638994
settings,1.0,0.19003741242638994
wedding,1.0,0.19003741242638994
gift,1.0,0.19003741242638994
servingware,1.0,0.19003741242638994
via,1.0,0.19003741242638994
shots,1.0,0.09004594050970155
be,3.0,0.1039265233170726
ho,1.0,0.09004594050970155
talk,1.0,0.09004594050970155
ree,1.0,0.08009384115163391
recipe,1.0,0.08134946290482138
fermented,1.0,0.08134946290482138
summer,1.0,0.08134946290482138
squash,1.0,0.08134946290482138
arnold,1.0,0.09503844505778951
schwarzenegger,1.0,0.09503844505778951
jamie,1.0,0.09503844505778951
dyl,1.0,0.06802938797086251
arent,1.0,0.06802938797086251
hamburger,1.0,0.06802938797086251
gibblets,1.0,0.06802938797086251
race,1.0,0.06802938797086251
sentient,1.0,0.06802938797086251
ornithological,1.0,0.06802938797086251
beings,1.0,0.06802938797086251
genetically,1.0,0.06802938797086251
engineered,1.0,0.06802938797086251
sorryy,1.0,0.08009384115163391
tried,1.0,0.23748453536766376
frickles,1.0,0.23748453536766376
if,2.0,0.45156017389909675
ask,1.0,0.23748453536766376
niall,1.0,0.23748453536766376
he,1.0,0.23748453536766376
might,1.0,0.23748453536766376
hahha,1.0,0.23748453536766376
see,1.0,0.6656358124305297
tweet,1.0,0.6656358124305297
love,1.0,0.6656358124305297
d,1.0,0.6656358124305297
texting,1.0,0.08009384115163391
remy,1.0,0.08009384115163391
head,1.0,0.08009384115163391
eh,2.0,0.35822233511060025
dude,1.0,0.35822233511060025
pickled,1.0,0.35822233511060025
cukes,1.0,0.35822233511060025
right,2.0,0.18972813947127543
canadians,1.0,0.35822233511060025
juicy,1.0,0.8863052217658286
sounds,1.0,0.8863052217658286
delish,1.0,0.8863052217658286
raspa,1.0,0.8863052217658286
waterymouth,1.0,0.8863052217658286
lol,1.0,0.8863052217658286
sounded,1.0,0.07535565049025131
sexy,1.0,0.07535565049025131
macarena,1.0,0.0922768053888411
de,1.0,0.0922768053888411
okno,1.0,0.0922768053888411
hacees,1.0,0.0922768053888411
cucumbers,1.0,0.07050554313909814
south,1.0,0.0461174963812241
gotta,1.0,0.0461174963812241
get,1.0,0.0461174963812241
hahaha,1.0,0.2005541472621392
um,1.0,0.2005541472621392
liv,1.0,0.2005541472621392
theres,1.0,0.2005541472621392
something,1.0,0.2005541472621392
tell,1.0,0.2005541472621392
p,1.0,0.2005541472621392
hahaa,1.0,0.04696727932520263
can,1.0,0.04696727932520263
peanutbutter,1.0,0.04696727932520263
house,1.0,0.04696727932520263
next,1.0,0.04696727932520263
time,1.0,0.04696727932520263
tour,1.0,0.04696727932520263
here,1.0,0.04696727932520263
taste,1.0,0.04696727932520263
good,2.0,0.09188099034271643
ahh,1.0,0.1725622160057128
yea,1.0,0.1725622160057128
juice,1.0,0.1725622160057128
zip,1.0,0.1725622160057128
lock,1.0,0.1725622160057128
keepitghetto,1.0,0.1725622160057128
would,1.0,0.021233943831950614
clutch,1.0,0.021233943831950614
coach,1.0,0.01586458356322884
pickledick,1.0,0.20049968560956566
approves,1.0,0.20049968560956566
dw,1.0,0.20049968560956566
lets,1.0,0.20049968560956566
cute,1.0,0.20049968560956566
together,1.0,0.20049968560956566
ha,1.0,0.13679470136023025
fag,1.0,0.13679470136023025
